('https://www.aldi.co.uk/caramel-shortcake-stackers/p/074542298901200', 'Caramel Shortcake Stackers', '1.49', '74.5p per 100g')
('https://www.aldi.co.uk/greek-style-fat-free-natural-yogurt/p/071022299471000', 'Greek Style Fat Free Natural Yogurt', '0.45', '9p per 100g')
('https://www.aldi.co.uk/sweet-pancakes/p/021624299887300', 'Sweet Pancakes', '1.19', '£2.38 per kg')
('https://www.aldi.co.uk/haggis%2C-neeps-%26-tatties/p/068070300171100', 'Haggis, Neeps & Tatties', '1.29', '37.9p per 100g')
('https://www.aldi.co.uk/6-golden-yolk-eggs/p/014731280421800', '6 Golden Yolk Eggs', '1.49', '24.8p each')
('https://www.aldi.co.uk/lightly-salted-hand-cooked-crisps/p/082020301200901', 'Lightly Salted Hand Cooked Crisps', '0.69', '46p per 100g')
('https://www.aldi.co.uk/laundry-tablets---2-in-1/p/056325303002601', 'Laundry Tablets - 2 In 1', '1.79', '4.9p per tablet (9.9p/wash)')
('https://www.aldi.co.uk/laundry-sachets-3in1---bio/p/074036303397800', 'Laundry Sachets 3in1 - Bio', '2.99', '15p per sachet')
('https://www.aldi.co.uk/rice-pudding/p/078519296034302', 'Rice Pudding', '1.59', '45.4p/ 31.8p per 100g')
('https://www.aldi.co.uk/fresh-cream-chocolate-eclairs/p/084351208083500', 'Fresh Cream Chocolate Eclairs', '0.75', '37.5p each')
('https://www.aldi.co.uk/new-york-cheesecake/p/084854303575701', 'New York Cheesecake', '2.49', '45.3p per 100g')
('https://www.aldi.co.uk/kids%27-pink-ski-salopettes/p/016782304344000', "Kids' Pink Ski Salopettes", '9.99', 'each')
('https://www.aldi.co.uk/exquisite-australian-chardonnay/p/053821305865900', 'Exquisite Australian Chardonnay', '5.99', '£5.99 per 75cl')
('https://www.aldi.co.uk/lamb-hot-pot/p/086514249401200', 'Lamb Hot Pot', '1.89', '£4.20 per kg')
('https://www.aldi.co.uk/wiltshire-cured-ham-gratin/p/086477233729300', 'Wiltshire Cured Ham Gratin', '2.59', '£6.48 per kg')
('https://www.aldi.co.uk/beef-hot-pot/p/086514287786101', 'Beef Hot Pot', '1.89', '£4.20 per kg')
('https://www.aldi.co.uk/sliced-mild-coloured-cheddar/p/068266306644201', 'Sliced Mild Coloured Cheddar', '1.49', '£5.96 per kg')
('https://www.aldi.co.uk/30-pack-variety-crisps/p/049446307338800', '30 Pack Variety Crisps', '2.59', '34.5p per 100g')
('https://www.aldi.co.uk/sugar-free-irn-bru/p/051987004467800', 'Sugar Free Irn Bru', '0.99', '19.8p per 100ml')
('https://www.aldi.co.uk/regular-irn-bru/p/051986004467600', 'Regular Irn Bru', '0.99', '19.8p per 100ml')
('https://www.aldi.co.uk/steak-slice-sausage/p/057185005410600', 'Steak Slice Sausage', '1.59', '£5.89 per kg')
('https://www.aldi.co.uk/macaroni-cheese/p/059310005805000', 'Macaroni Cheese', '0.87', '26.8p per 100g')
