('https://www.aldi.co.uk/ladies-adidas-shadow-trainer/p/020871300327500', 'Ladies Adidas Shadow Trainer', '40.00', 'No weight data')
('https://www.aldi.co.uk/ladies-adidas-shadow-trainer/p/020871300326700', 'Ladies Adidas Shadow Trainer', '40.00', 'No weight data')
('https://www.aldi.co.uk/ladies-adidas-shadow-trainer/p/020871301102700', 'Ladies Adidas Shadow Trainer', '40.00', 'No weight data')
('https://www.aldi.co.uk/ladies-adidas-shadow-trainer/p/020871300326500', 'Ladies Adidas Shadow Trainer', '40.00', 'No weight data')
('https://www.aldi.co.uk/ladies-adidas-shadow-trainer/p/020871300327100', 'Ladies Adidas Shadow Trainer', '40.00', 'No weight data')
('https://www.aldi.co.uk/ladies-adidas-shadow-trainer/p/020871300327300', 'Ladies Adidas Shadow Trainer', '40.00', 'No weight data')
('https://www.aldi.co.uk/ladies-adidas-shadow-trainer/p/020871300327700', 'Ladies Adidas Shadow Trainer', '40.00', 'No weight data')
('https://www.aldi.co.uk/ladies-adidas-shadow-trainer/p/020871300327900', 'Ladies Adidas Shadow Trainer', '40.00', 'No weight data')
('https://www.aldi.co.uk/ladies-adidas-shadow-trainer/p/020871301102400', 'Ladies Adidas Shadow Trainer', '40.00', 'No weight data')
('https://www.aldi.co.uk/ladies-adidas-shadow-trainer/p/020871301233500', 'Ladies Adidas Shadow Trainer', '40.00', 'No weight data')
('https://www.aldi.co.uk/ladies-adidas-shadow-trainer/p/020871301233800', 'Ladies Adidas Shadow Trainer', '40.00', 'No weight data')
('https://www.aldi.co.uk/adidas-pureboost-trainer/p/021439300481900', 'Adidas Pureboost Trainer', '40.00', 'No weight data')
('https://www.aldi.co.uk/adidas-pureboost-trainer/p/021439300482200', 'Adidas Pureboost Trainer', '40.00', 'No weight data')
('https://www.aldi.co.uk/adidas-pureboost-trainer/p/021439300480700', 'Adidas Pureboost Trainer', '40.00', 'No weight data')
('https://www.aldi.co.uk/adidas-pureboost-trainer/p/021439300481000', 'Adidas Pureboost Trainer', '40.00', 'No weight data')
('https://www.aldi.co.uk/adidas-pureboost-trainer/p/021439300481300', 'Adidas Pureboost Trainer', '40.00', 'No weight data')
('https://www.aldi.co.uk/adidas-pureboost-trainer/p/021439300481600', 'Adidas Pureboost Trainer', '40.00', 'No weight data')
('https://www.aldi.co.uk/mens-tan-leather-boot-/p/098733315078500', 'Mens Tan Leather Boot', '14.99', 'No weight data')
('https://www.aldi.co.uk/mens-tan-leather-boot-/p/098733315078700', 'Mens Tan Leather Boot', '14.99', 'No weight data')
('https://www.aldi.co.uk/mens-tan-leather-boot-/p/098733315078300', 'Mens Tan Leather Boot', '14.99', 'No weight data')
('https://www.aldi.co.uk/mens-tan-leather-boot-/p/098733315078900', 'Mens Tan Leather Boot', '14.99', 'No weight data')
('https://www.aldi.co.uk/nude-canadian-boots/p/099028316804700', 'Nude Canadian Boots', '6.99', 'No weight data')
('https://www.aldi.co.uk/nude-canadian-boots/p/099028316805100', 'Nude Canadian Boots', '6.99', 'No weight data')
('https://www.aldi.co.uk/nude-canadian-boots/p/099028316804500', 'Nude Canadian Boots', '6.99', 'No weight data')
('https://www.aldi.co.uk/nude-canadian-boots/p/099028316804900', 'Nude Canadian Boots', '6.99', 'No weight data')
('https://www.aldi.co.uk/ladies%27-inoc-ski-jacket/p/099109316827900', "Ladies' Inoc Ski Jacket", '24.99', 'No weight data')
('https://www.aldi.co.uk/ladies%27-inoc-ski-jacket/p/099109316827700', "Ladies' Inoc Ski Jacket", '24.99', 'No weight data')
('https://www.aldi.co.uk/ladies%27-inoc-ski-jacket/p/099109316828100', "Ladies' Inoc Ski Jacket", '24.99', 'No weight data')
('https://www.aldi.co.uk/ladies%27-ski-salopettes/p/099111316826500', "Ladies' Ski Salopettes", '34.99', 'No weight data')
